
preStartHos: start!
OnHosStart: starting!
OnHosStart: primeNumber Pri,id= 3,8
OnHosStart: printLine Pri,id= 2,7
OnHosStart: flgid=4
primeNumber :   10007
primeNumber :   10009
primeNumber :   10037
primeNumber :   10039
primeNumber :   10061
primeNumber :   10067
primeNumber :   10069
primeNumber :   10079
primeNumber :   10091
primeNumber :   10093
--------------- [1回目の表示] ---------------
primeNumber :   10099
primeNumber :   10103
primeNumber :   10111
primeNumber :   10133
primeNumber :   10139
primeNumber :   10141
primeNumber :   10151
primeNumber :   10159
primeNumber :   10163
primeNumber :   10169
--------------- [2回目の表示] ---------------
primeNumber :   10177
primeNumber :   10181
primeNumber :   10193
primeNumber :   10211
primeNumber :   10223
primeNumber :   10243
primeNumber :   10247
primeNumber :   10253
primeNumber :   10259
primeNumber :   10267
--------------- [3回目の表示] ---------------
primeNumber :   10271
primeNumber :   10273
primeNumber :   10289
primeNumber :   10301
primeNumber :   10303
primeNumber :   10313
primeNumber :   10321
primeNumber :   10331
primeNumber :   10333
primeNumber :   10337
--------------- [4回目の表示] ---------------
primeNumber :   10343
primeNumber :   10357
primeNumber :   10369
primeNumber :   10391
primeNumber :   10399
primeNumber :   10427
primeNumber :   10429
primeNumber :   10433
primeNumber :   10453
primeNumber :   10457
--------------- [5回目の表示] ---------------
primeNumber :   10459
primeNumber :   10463
primeNumber :   10477
primeNumber :   10487
primeNumber :   10499
primeNumber :   10501
primeNumber :   10513
primeNumber :   10529
primeNumber :   10531
primeNumber :   10559
--------------- [6回目の表示] ---------------
primeNumber :   10567
primeNumber :   10589
primeNumber :   10597
primeNumber :   10601
primeNumber :   10607
primeNumber :   10613
primeNumber :   10627
primeNumber :   10631
primeNumber :   10639
primeNumber :   10651
--------------- [7回目の表示] ---------------
primeNumber :   10657
primeNumber :   10663
primeNumber :   10667
primeNumber :   10687
primeNumber :   10691
primeNumber :   10709
primeNumber :   10711
primeNumber :   10723
primeNumber :   10729
primeNumber :   10733
--------------- [8回目の表示] ---------------
primeNumber :   10739
primeNumber :   10753
primeNumber :   10771
primeNumber :   10781
primeNumber :   10789
primeNumber :   10799
primeNumber :   10831
primeNumber :   10837
