試行回数	ノード	ノード間距離
0	0	0.0
1	119	0.0
2	106	0.0
3	45	0.0
4	239	0.0
5	27	0.0
6	10	0.0
7	292	0.0
8	29	0.0
9	94	0.0
10	37	0.0
11	156	0.0
12	34	0.0
13	205	0.0
14	53	0.0
15	104	0.0
16	513	0.0
17	15	0.0
18	67	0.0
19	250	0.0
20	35	0.0
21	44	0.0
22	695	0.0
23	79	0.0
24	19	0.0
25	113	0.0
26	243	0.0
27	202	0.0
28	74	0.0
29	120	0.0
30	153	0.0
31	128	0.0
32	38	0.0
33	222	0.0
34	95	0.0
35	21	0.0
36	253	0.0
37	112	0.0
38	164	0.0
39	181	0.0
40	80	0.0
41	117	0.0
42	66	0.0
43	11	0.0
44	121	0.0
45	16	0.0
46	26	0.0
47	57	0.0
48	51	0.0
49	40	0.0
50	75	0.0
51	39	0.0
52	52	0.0
53	189	0.0
54	91	0.0
55	300	0.0
56	86	0.0
57	13	0.0
58	62	0.0
59	354	0.0
60	388	0.0
61	131	0.0
62	306	0.0
63	99	0.0
64	78	0.0
65	96	0.0
66	41	0.0
67	477	0.0
68	157	0.0
69	612	0.0
70	2	0.0
71	14	0.0
72	170	0.0
73	143	0.0
74	430	0.0
75	916	0.0
76	103	0.0
77	360	0.0
78	129	0.0
79	378	0.0
80	385	0.0
81	158	0.0
82	188	0.0
83	142	0.0
84	200	0.0
85	154	0.0
86	214	0.0
87	186	0.0
88	24	0.0
89	31	0.0
90	70	0.0
91	280	0.0
92	73	0.0
93	532	0.0
94	194	0.0
95	4	0.0
96	219	0.0
97	36	0.0
98	82	0.0
99	46	0.0
100	161	0.0
101	217	0.0
102	118	0.0
103	12	0.0
104	327	0.0
105	177	0.0
106	50	0.0
107	7	0.0
108	72	0.0
109	89	0.0
110	22	0.0
111	32	0.0
112	59	0.0
113	322	0.0
114	81	0.0
115	172	0.0
116	115	0.0
117	60	0.0
118	33	0.0
119	90	0.0
120	325	0.0
121	64	0.0
122	85	0.0
123	182	0.0
124	77	0.0
125	23	0.0
126	315	0.0
127	98	0.0
128	55	0.0
129	8	0.0
130	174	0.0
131	396	0.0
132	63	0.0
133	295	0.0
134	149	0.0
135	28	0.0
136	266	0.0
137	220	0.0
138	197	0.0
139	381	0.0
140	125	0.0
141	5	0.0
142	101	0.0
143	190	0.0
144	233	0.0
145	87	0.0
146	175	0.0
147	54	0.0
148	241	0.0
149	25	0.0
150	137	0.0
151	303	0.0
152	288	0.0
153	318	0.0
154	111	0.0
155	9	0.0
156	84	0.0
157	246	0.0
158	61	0.0
159	107	0.0
160	223	0.0
161	127	0.0
162	130	0.0
163	255	0.0
164	126	0.0
165	287	0.0
166	536	0.0
167	254	0.0
168	124	0.0
169	387	0.0
170	548	0.0
171	1	0.0
172	92	0.0
173	312	0.0
174	151	0.0
175	279	0.0
176	69	0.0
177	47	0.0
178	160	0.0
179	18	0.0
180	105	0.0
181	185	0.0
182	416	0.0
183	329	0.0
184	207	0.0
185	179	0.0
186	413	0.0
187	283	0.0
188	155	0.0
189	268	0.0
190	309	0.0
191	353	0.0
192	48	0.0
193	139	0.0
194	17	0.0
195	326	0.0
196	122	0.0
197	429	0.0
198	225	0.0
199	215	0.0
200	100	0.0
201	71	0.0
202	49	0.0
203	269	0.0
204	83	0.0
205	93	0.0
206	286	0.0
207	145	0.0
208	144	0.0
209	65	0.0
210	114	0.0
211	574	0.0
212	226	0.0
213	298	0.0
214	140	0.0
215	511	0.0
216	30	0.0
217	6	0.0
218	321	0.0
219	42	0.0
220	169	0.0
221	379	0.0
222	68	0.0
223	235	0.0
224	352	0.0
225	152	0.0
226	383	0.0
227	434	0.0
228	348	0.0
229	102	0.0
230	218	0.0
231	273	0.0
232	110	0.0
233	123	0.0
234	138	0.0
235	440	0.0
236	346	0.0
237	336	0.0
238	133	0.0
239	308	0.0
240	275	0.0
241	56	0.0
242	415	0.0
243	147	0.0
244	365	0.0
245	284	0.0
246	341	0.0
247	578	0.0
248	173	0.0
249	427	0.0
250	349	0.0
251	108	0.0
252	272	0.0
253	371	0.0
254	281	0.0
255	3	0.0
256	478	0.0
257	262	0.0
258	433	0.0
259	109	0.0
260	267	0.0
261	358	0.0
262	211	0.0
263	350	0.0
264	277	0.0
265	367	0.0
266	76	0.0
267	696	0.0
268	375	0.0
269	203	0.0
270	159	0.0
271	252	0.0
272	409	0.0
273	232	0.0
274	398	0.0
275	183	0.0
276	291	0.0
277	167	0.0
278	363	0.0
279	525	0.0
280	661	0.0
281	465	0.0
282	201	0.0
283	697	0.0
284	231	0.0
285	311	0.0
286	206	0.0
287	445	0.0
288	476	0.0
289	530	0.0
290	276	0.0
291	324	0.0
292	373	0.0
293	230	0.0
294	355	0.0
295	405	0.0
296	317	0.0
297	557	0.0
298	343	0.0
299	210	0.0
300	313	0.0
301	187	0.0
302	595	0.0
303	296	0.0
304	290	0.0
305	199	0.0
306	294	0.0
307	458	0.0
308	229	0.0
309	184	0.0
310	589	0.0
311	244	0.0
312	372	0.0
313	150	0.0
314	265	0.0
315	391	0.0
316	134	0.0
317	135	0.0
318	559	0.0
319	374	0.0
320	20	0.0
321	364	0.0
322	209	0.0
323	407	0.0
324	136	0.0
325	234	0.0
326	227	0.0
327	148	0.0
328	330	0.0
329	543	0.0
330	263	0.0
331	566	0.0
332	204	0.0
333	436	0.0
334	305	0.0
335	163	0.0
336	310	0.0
337	527	0.0
338	662	0.0
339	259	0.0
340	404	0.0
341	425	0.0
342	647	0.0
343	547	0.0
344	464	0.0
345	514	0.0
346	644	0.0
347	423	0.0
348	497	0.0
349	191	0.0
350	470	0.0
351	362	0.0
352	823	0.0
353	193	0.0
354	270	0.0
355	552	0.0
356	146	0.0
357	808	0.0
358	351	0.0
359	162	0.0
360	278	0.0
361	333	0.0
362	386	0.0
363	116	0.0
364	529	0.0
365	282	0.0
366	466	0.0
367	431	0.0
368	271	0.0
369	274	0.0
370	165	0.0
371	442	0.0
372	930	0.0
373	237	0.0
374	208	0.0
375	400	0.0
376	503	0.0
377	462	0.0
378	166	0.0
379	412	0.0
380	320	0.0
381	628	0.0
382	485	0.0
383	316	0.0
384	260	0.0
385	249	0.0
386	264	0.0
387	522	0.0
388	410	0.0
389	361	0.0
390	515	0.0
391	97	0.0
392	299	0.0
393	596	0.0
394	538	0.0
395	501	0.0
396	171	0.0
