試行回数	ノード	ノード間距離
0	2112	0.0
1	11	0.0
2	66	0.0
3	42	0.0
4	169	0.0
5	250	0.0
6	35	0.0
7	44	0.0
8	695	0.0
9	79	0.0
10	19	0.0
11	113	0.0
12	243	0.0
13	202	0.0
14	74	0.0
15	106	0.0
16	45	0.0
17	239	0.0
18	27	0.0
19	10	0.0
20	292	0.0
21	29	0.0
22	94	0.0
23	37	0.0
24	156	0.0
25	34	0.0
26	205	0.0
27	53	0.0
28	104	0.0
29	513	0.0
30	15	0.0
31	67	0.0
32	255	0.0
33	85	0.0
34	64	0.0
35	122	0.0
36	98	0.0
37	55	0.0
38	8	0.0
39	174	0.0
40	13	0.0
41	62	0.0
42	354	0.0
43	388	0.0
44	131	0.0
45	306	0.0
46	39	0.0
47	52	0.0
48	189	0.0
49	0	0.0
50	119	0.0
51	211	0.0
52	350	0.0
53	46	0.0
54	82	0.0
55	36	0.0
56	219	0.0
57	4	0.0
58	194	0.0
59	137	0.0
60	25	0.0
61	77	0.0
62	23	0.0
63	315	0.0
64	182	0.0
65	171	0.0
66	149	0.0
67	28	0.0
68	266	0.0
69	220	0.0
70	197	0.0
71	381	0.0
72	125	0.0
73	5	0.0
74	101	0.0
75	190	0.0
76	95	0.0
77	21	0.0
78	253	0.0
79	112	0.0
80	164	0.0
81	181	0.0
82	80	0.0
83	117	0.0
84	72	0.0
85	7	0.0
86	50	0.0
87	168	0.0
88	342	0.0
89	162	0.0
90	278	0.0
91	333	0.0
92	217	0.0
93	118	0.0
94	12	0.0
95	327	0.0
96	177	0.0
97	226	0.0
98	298	0.0
99	24	0.0
100	31	0.0
101	70	0.0
102	280	0.0
103	73	0.0
104	532	0.0
105	208	0.0
106	237	0.0
107	312	0.0
108	92	0.0
109	1	0.0
110	284	0.0
111	128	0.0
112	38	0.0
113	222	0.0
114	259	0.0
115	61	0.0
116	107	0.0
117	57	0.0
118	26	0.0
119	16	0.0
120	32	0.0
121	2	0.0
122	14	0.0
123	86	0.0
124	236	0.0
125	43	0.0
126	627	0.0
127	22	0.0
128	89	0.0
129	286	0.0
130	93	0.0
131	83	0.0
132	269	0.0
133	49	0.0
134	71	0.0
135	96	0.0
136	41	0.0
137	477	0.0
138	157	0.0
139	612	0.0
140	68	0.0
141	235	0.0
142	111	0.0
143	9	0.0
144	84	0.0
145	246	0.0
146	150	0.0
147	115	0.0
148	60	0.0
149	33	0.0
150	90	0.0
151	325	0.0
152	213	0.0
153	47	0.0
154	51	0.0
155	40	0.0
156	75	0.0
157	183	0.0
158	291	0.0
159	167	0.0
160	363	0.0
161	130	0.0
162	127	0.0
163	223	0.0
164	152	0.0
165	352	0.0
166	348	0.0
167	102	0.0
168	218	0.0
169	273	0.0
170	110	0.0
171	123	0.0
172	138	0.0
173	440	0.0
174	153	0.0
175	120	0.0
176	241	0.0
177	54	0.0
178	175	0.0
179	87	0.0
180	233	0.0
181	274	0.0
182	81	0.0
183	172	0.0
184	221	0.0
185	186	0.0
186	151	0.0
187	279	0.0
188	69	0.0
189	304	0.0
190	144	0.0
191	65	0.0
192	114	0.0
193	574	0.0
194	311	0.0
195	206	0.0
196	99	0.0
197	78	0.0
198	132	0.0
199	245	0.0
200	195	0.0
201	192	0.0
202	396	0.0
203	63	0.0
204	295	0.0
205	173	0.0
206	321	0.0
207	6	0.0
208	30	0.0
209	232	0.0
210	326	0.0
211	17	0.0
212	139	0.0
213	48	0.0
214	353	0.0
215	309	0.0
216	214	0.0
217	154	0.0
218	200	0.0
219	142	0.0
220	188	0.0
221	158	0.0
222	379	0.0
223	133	0.0
224	308	0.0
225	275	0.0
226	56	0.0
227	415	0.0
228	147	0.0
229	318	0.0
230	225	0.0
231	215	0.0
232	100	0.0
233	196	0.0
234	454	0.0
235	487	0.0
236	238	0.0
237	358	0.0
238	267	0.0
239	109	0.0
240	270	0.0
241	193	0.0
242	271	0.0
243	328	0.0
244	393	0.0
245	199	0.0
246	290	0.0
247	203	0.0
248	159	0.0
249	252	0.0
250	409	0.0
251	314	0.0
252	626	0.0
253	227	0.0
254	148	0.0
255	330	0.0
256	210	0.0
257	313	0.0
258	187	0.0
259	595	0.0
260	296	0.0
261	320	0.0
262	161	0.0
263	356	0.0
264	283	0.0
265	155	0.0
266	268	0.0
267	336	0.0
268	322	0.0
269	59	0.0
270	469	0.0
271	380	0.0
272	577	0.0
273	343	0.0
274	447	0.0
275	176	0.0
276	374	0.0
277	20	0.0
278	364	0.0
279	209	0.0
280	407	0.0
281	136	0.0
282	234	0.0
283	461	0.0
284	820	0.0
285	263	0.0
286	543	0.0
287	310	0.0
288	163	0.0
289	305	0.0
290	334	0.0
291	377	0.0
292	293	0.0
293	329	0.0
294	207	0.0
295	179	0.0
296	413	0.0
297	619	0.0
298	457	0.0
299	562	0.0
300	166	0.0
301	412	0.0
302	170	0.0
303	143	0.0
304	430	0.0
305	916	0.0
306	103	0.0
307	360	0.0
308	129	0.0
309	378	0.0
310	385	0.0
311	224	0.0
312	418	0.0
313	355	0.0
314	230	0.0
315	145	0.0
316	473	0.0
317	486	0.0
318	340	0.0
319	88	0.0
320	300	0.0
321	91	0.0
322	397	0.0
323	632	0.0
324	339	0.0
325	492	0.0
326	548	0.0
327	289	0.0
328	449	0.0
329	373	0.0
330	265	0.0
331	391	0.0
332	134	0.0
333	135	0.0
334	559	0.0
335	384	0.0
336	249	0.0
337	260	0.0
338	316	0.0
339	429	0.0
340	494	0.0
341	178	0.0
342	463	0.0
343	427	0.0
344	349	0.0
345	108	0.0
346	272	0.0
347	371	0.0
348	281	0.0
349	3	0.0
350	478	0.0
351	262	0.0
352	433	0.0
353	453	0.0
354	357	0.0
355	376	0.0
356	332	0.0
357	621	0.0
358	400	0.0
359	503	0.0
360	288	0.0
361	303	0.0
362	408	0.0
363	386	0.0
364	116	0.0
365	18	0.0
366	105	0.0
367	185	0.0
368	416	0.0
369	443	0.0
370	466	0.0
371	282	0.0
372	529	0.0
373	557	0.0
374	317	0.0
375	405	0.0
376	520	0.0
377	140	0.0
378	511	0.0
379	1112	0.0
380	121	0.0
381	277	0.0
382	367	0.0
383	76	0.0
384	696	0.0
