K m	A	
0.2	0.3	0.2
0.4	0.2	0.4
0.6	0.8	0.6
0.8	0.5	0.8
1	1	1
1.2	1.2	1.2
1.4	1.5	1.4
1.6	1.5	1.6
1.8	1.6	1.8
2	2.1	2
2.2	2.1	2.2
2.4	2.5	2.4
2.6	2.4	2.6
2.8	2.6	2.8
3	2.9	3
3.2	3.1	3.2
3.4	3.4	3.4
3.6	3.8	3.6
3.8	3.9	3.8
4	3.8	4
4.2	4.2	4
4.4	4	4
4.6	4.1	4
4.8	4	4
5	3.9	4
5.2	4.1	4
5.4	3.9	4
5.6	3.8	4
5.8	4.2	4
6	3.8	4
6.2	4.2	4
6.4	3.8	4
6.6	4.1	4
6.8	4	4
7	4.2	4
7.2	3.8	4
7.4	3.9	4
7.6	4.1	4
7.8	4	4
8	4.1	4
8.2	3.9	4
8.4	3.8	4
8.6	3.9	4
8.8	4.2	4
9	4.1	4
9.2	4	4
9.4	4.2	4
9.6	3.9	4
9.8	4	4
10	3.8	4
